trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
128288892,19,09/01/2019 00:00,09/01/2019 00:19,4311,34.059689,-118.294662,4410,34.063351,-118.296799,17327,30,One Way,Monthly Pass,electric
128288891,23,09/01/2019 00:05,09/01/2019 00:28,3074,34.04417,-118.261169,3047,34.039982,-118.266403,11981,30,One Way,Monthly Pass,standard
128288890,14,09/01/2019 00:08,09/01/2019 00:22,3006,34.04554,-118.256668,3018,34.043732,-118.260139,18258,30,One Way,Monthly Pass,electric
128288889,17,09/01/2019 00:11,09/01/2019 00:28,3005,34.0485,-118.258537,3082,34.04652,-118.237411,5997,1,One Way,Walk-up,standard
128288888,16,09/01/2019 00:12,09/01/2019 00:28,3005,34.0485,-118.258537,3082,34.04652,-118.237411,17068,1,One Way,Walk-up,electric
128288887,2,09/01/2019 00:15,09/01/2019 00:17,3008,34.046612,-118.262733,3005,34.0485,-118.258537,19301,30,One Way,Monthly Pass,electric
128288886,14,09/01/2019 00:17,09/01/2019 00:31,4300,34.04887,-118.2743,4250,34.03017,-118.280952,16560,1,One Way,One Day Pass,electric
128288885,6,09/01/2019 00:20,09/01/2019 00:26,4410,34.063351,-118.296799,4311,34.059689,-118.294662,19655,30,One Way,Monthly Pass,electric
128288883,21,09/01/2019 00:22,09/01/2019 00:43,3018,34.043732,-118.260139,3006,34.04554,-118.256668,18258,30,One Way,Monthly Pass,electric
128288884,1,09/01/2019 00:22,09/01/2019 00:23,3038,34.046822,-118.248352,3029,34.048851,-118.246422,19662,365,One Way,Annual Pass,electric
128288882,17,09/01/2019 00:24,09/01/2019 00:41,3029,34.048851,-118.246422,3014,34.05661,-118.237213,19370,365,One Way,Annual Pass,electric
128288880,6,09/01/2019 00:25,09/01/2019 00:31,3033,34.040989,-118.255798,3076,34.0406,-118.253838,18854,30,One Way,Monthly Pass,electric
128288881,19,09/01/2019 00:25,09/01/2019 00:44,3074,34.04417,-118.261169,3074,34.04417,-118.261169,18348,30,Round Trip,Monthly Pass,electric
128288878,28,09/01/2019 00:27,09/01/2019 00:55,4311,34.059689,-118.294662,4311,34.059689,-118.294662,19895,30,Round Trip,Monthly Pass,electric
128288879,28,09/01/2019 00:27,09/01/2019 00:55,4311,34.059689,-118.294662,4311,34.059689,-118.294662,19655,30,Round Trip,Monthly Pass,electric
128288877,9,09/01/2019 00:31,09/01/2019 00:40,3076,34.0406,-118.253838,3010,34.037048,-118.254868,17039,30,One Way,Monthly Pass,electric
128288876,12,09/01/2019 00:34,09/01/2019 00:46,3008,34.046612,-118.262733,3042,34.049301,-118.238808,17026,30,One Way,Monthly Pass,electric
128288874,133,09/01/2019 00:41,09/01/2019 02:54,3014,34.05661,-118.237213,3038,34.046822,-118.248352,19370,365,One Way,Annual Pass,electric
128288875,14,09/01/2019 00:41,09/01/2019 00:55,3010,34.037048,-118.254868,3076,34.0406,-118.253838,19178,30,One Way,Monthly Pass,electric
128288873,24,09/01/2019 00:43,09/01/2019 01:07,3006,34.04554,-118.256668,3063,34.048038,-118.253738,18258,30,One Way,Monthly Pass,electric
128288872,17,09/01/2019 00:44,09/01/2019 01:01,3074,34.04417,-118.261169,3005,34.0485,-118.258537,18348,30,One Way,Monthly Pass,electric
128288871,17,09/01/2019 00:48,09/01/2019 01:05,4425,34.152,-118.350601,4425,34.152,-118.350601,15849,30,Round Trip,Monthly Pass,smart
128288869,15,09/01/2019 00:55,09/01/2019 01:10,3076,34.0406,-118.253838,3076,34.0406,-118.253838,19178,30,Round Trip,Monthly Pass,electric
128288870,13,09/01/2019 00:55,09/01/2019 01:08,3019,34.038609,-118.260857,3042,34.049301,-118.238808,12243,1,One Way,Walk-up,standard
128288868,20,09/01/2019 00:58,09/01/2019 01:18,3018,34.043732,-118.260139,4275,34.01252,-118.285896,6461,1,One Way,Walk-up,standard
128288867,4,09/01/2019 01:08,09/01/2019 01:12,3063,34.048038,-118.253738,3006,34.04554,-118.256668,18258,30,One Way,Monthly Pass,electric
128288866,14,09/01/2019 01:10,09/01/2019 01:24,3076,34.0406,-118.253838,3069,34.05088,-118.248253,19178,30,One Way,Monthly Pass,electric
128288865,57,09/01/2019 01:13,09/01/2019 02:10,3014,34.05661,-118.237213,3014,34.05661,-118.237213,5861,1,Round Trip,Walk-up,standard
128288864,14,09/01/2019 01:24,09/01/2019 01:38,3069,34.05088,-118.248253,3076,34.0406,-118.253838,19178,30,One Way,Monthly Pass,electric
128288863,49,09/01/2019 01:26,09/01/2019 02:15,3076,34.0406,-118.253838,3042,34.049301,-118.238808,18854,1,One Way,Walk-up,electric
128309295,541,09/01/2019 01:26,09/01/2019 10:27,4266,34.026291,-118.277687,4266,34.026291,-118.277687,5787,1,Round Trip,Walk-up,standard
128288861,51,09/01/2019 01:38,09/01/2019 02:29,3076,34.0406,-118.253838,3006,34.04554,-118.256668,19178,30,One Way,Monthly Pass,electric
128288862,8,09/01/2019 01:38,09/01/2019 01:46,3042,34.049301,-118.238808,3042,34.049301,-118.238808,17026,1,Round Trip,Walk-up,electric
128294746,220,09/01/2019 02:07,09/01/2019 05:47,4293,34.062279,-118.271523,4293,34.062279,-118.271523,16755,1,Round Trip,One Day Pass,electric
128294745,220,09/01/2019 02:08,09/01/2019 05:48,4293,34.062279,-118.271523,4293,34.062279,-118.271523,17380,1,Round Trip,One Day Pass,electric
128288860,9,09/01/2019 02:29,09/01/2019 02:38,3006,34.04554,-118.256668,4227,34.0298,-118.270309,19178,30,One Way,Monthly Pass,electric
128288859,5,09/01/2019 02:33,09/01/2019 02:38,3046,34.052872,-118.24749,3049,34.056969,-118.253593,19407,30,One Way,Monthly Pass,electric
128288858,32,09/01/2019 02:46,09/01/2019 03:18,4301,34.099049,-118.291496,4314,34.057709,-118.279762,16580,1,One Way,Walk-up,electric
128288857,5,09/01/2019 03:04,09/01/2019 03:09,4227,34.0298,-118.270309,4266,34.026291,-118.277687,17519,30,One Way,Monthly Pass,electric
128288856,15,09/01/2019 03:15,09/01/2019 03:30,4304,34.06258,-118.290092,4304,34.06258,-118.290092,6475,1,Round Trip,One Day Pass,standard
128290573,22,09/01/2019 04:04,09/01/2019 04:26,4286,,,4286,,,15299,1,Round Trip,One Day Pass,smart
128291796,26,09/01/2019 04:27,09/01/2019 04:53,4286,,,4286,,,15299,1,Round Trip,One Day Pass,smart
128291062,3,09/01/2019 04:32,09/01/2019 04:35,3052,34.051102,-118.264557,3005,34.0485,-118.258537,18957,30,One Way,Monthly Pass,electric
128291063,7,09/01/2019 04:32,09/01/2019 04:39,4431,34.177662,-118.382278,4420,34.168629,-118.377068,15214,30,One Way,Monthly Pass,smart
128292525,27,09/01/2019 04:37,09/01/2019 05:04,3005,34.0485,-118.258537,3040,34.05357,-118.266357,19301,30,One Way,Monthly Pass,electric
128293015,18,09/01/2019 04:54,09/01/2019 05:12,4286,,,4334,34.02018,-118.40403,15299,1,One Way,One Day Pass,smart
128295227,24,09/01/2019 05:33,09/01/2019 05:57,4405,34.051899,-118.293678,3067,34.045181,-118.250237,19860,1,One Way,Walk-up,electric
128294732,5,09/01/2019 05:36,09/01/2019 05:41,3069,34.05088,-118.248253,3069,34.05088,-118.248253,18962,30,Round Trip,Monthly Pass,electric
128295967,10,09/01/2019 05:59,09/01/2019 06:09,3067,34.045181,-118.250237,3069,34.05088,-118.248253,16309,30,One Way,Monthly Pass,electric
128296462,8,09/01/2019 06:10,09/01/2019 06:18,3069,34.05088,-118.248253,3075,34.04211,-118.256187,5856,30,One Way,Monthly Pass,standard
128298939,10,09/01/2019 06:52,09/01/2019 07:02,3076,34.0406,-118.253838,3027,34.04998,-118.247162,6225,30,One Way,Monthly Pass,standard
128299186,7,09/01/2019 07:02,09/01/2019 07:09,4413,34.158321,-118.370811,4420,34.168629,-118.377068,15089,30,One Way,Monthly Pass,smart
128299679,8,09/01/2019 07:09,09/01/2019 07:17,3037,34.034801,-118.231277,3022,34.04607,-118.233093,6090,30,One Way,Monthly Pass,standard
128519047,1440,09/01/2019 07:12,09/04/2019 09:55,3014,34.05661,-118.237213,3000,,,5861,1,One Way,One Day Pass,standard
128300665,13,09/01/2019 07:25,09/01/2019 07:38,3006,34.04554,-118.256668,3014,34.05661,-118.237213,18954,30,One Way,Monthly Pass,electric
128301153,12,09/01/2019 07:36,09/01/2019 07:48,3026,34.063179,-118.24588,3064,34.04681,-118.256981,12080,1,One Way,Walk-up,standard
128300910,6,09/01/2019 07:38,09/01/2019 07:44,4324,34.02655,-118.408463,4329,34.029121,-118.403168,15810,30,One Way,Monthly Pass,smart
128301628,13,09/01/2019 07:42,09/01/2019 07:55,3049,34.056969,-118.253593,3018,34.043732,-118.260139,19407,1,One Way,Walk-up,electric
128303297,44,09/01/2019 07:42,09/01/2019 08:26,4300,34.04887,-118.2743,4220,34.074829,-118.258728,6605,1,One Way,Walk-up,standard
128302099,21,09/01/2019 07:43,09/01/2019 08:04,3069,34.05088,-118.248253,3069,34.05088,-118.248253,6559,365,Round Trip,Annual Pass,standard
128302336,25,09/01/2019 07:44,09/01/2019 08:09,4346,33.984341,-118.47155,4285,,,15792,1,One Way,Walk-up,smart
128303293,38,09/01/2019 07:47,09/01/2019 08:25,4300,34.04887,-118.2743,4220,34.074829,-118.258728,12193,1,One Way,Walk-up,standard
128302575,20,09/01/2019 07:50,09/01/2019 08:10,4347,33.984928,-118.469963,4285,,,15933,1,One Way,Walk-up,smart
128302814,25,09/01/2019 07:50,09/01/2019 08:15,4347,33.984928,-118.469963,4285,,,15960,1,One Way,One Day Pass,smart
128302574,21,09/01/2019 07:53,09/01/2019 08:14,4347,33.984928,-118.469963,4285,,,15668,1,One Way,One Day Pass,smart
128303527,37,09/01/2019 07:57,09/01/2019 08:34,4266,34.026291,-118.277687,4220,34.074829,-118.258728,18135,30,One Way,Monthly Pass,electric
128302333,5,09/01/2019 08:04,09/01/2019 08:09,3067,34.045181,-118.250237,3064,34.04681,-118.256981,19860,1,One Way,Walk-up,electric
128304002,29,09/01/2019 08:12,09/01/2019 08:41,4302,34.092491,-118.291443,3032,34.049889,-118.255882,17731,1,One Way,Walk-up,electric
128306116,60,09/01/2019 08:22,09/01/2019 09:22,4347,33.984928,-118.469963,4344,34.014309,-118.491341,15652,1,One Way,Walk-up,smart
128306115,59,09/01/2019 08:23,09/01/2019 09:22,4347,33.984928,-118.469963,4344,34.014309,-118.491341,16190,1,One Way,Walk-up,smart
128304477,27,09/01/2019 08:24,09/01/2019 08:51,3068,34.0532,-118.250954,3022,34.04607,-118.233093,6630,1,One Way,One Day Pass,standard
128304712,24,09/01/2019 08:34,09/01/2019 08:58,3082,34.04652,-118.237411,3019,34.038609,-118.260857,12178,1,One Way,One Day Pass,standard
128304711,20,09/01/2019 08:38,09/01/2019 08:58,3082,34.04652,-118.237411,3019,34.038609,-118.260857,17068,1,One Way,Walk-up,electric
128304240,9,09/01/2019 08:40,09/01/2019 08:49,4315,34.054031,-118.27092,3005,34.0485,-118.258537,16516,1,One Way,Walk-up,electric
128304239,7,09/01/2019 08:41,09/01/2019 08:48,4315,34.054031,-118.27092,3005,34.0485,-118.258537,12412,1,One Way,Walk-up,standard
128308789,91,09/01/2019 08:46,09/01/2019 10:17,4129,33.725819,-118.28051,4129,33.725819,-118.28051,5776,1,Round Trip,Walk-up,standard
128307229,62,09/01/2019 08:47,09/01/2019 09:49,3022,34.04607,-118.233093,4387,34.03352,-118.241837,6430,30,One Way,Monthly Pass,standard
128308786,92,09/01/2019 08:47,09/01/2019 10:19,4129,33.725819,-118.28051,4129,33.725819,-118.28051,12364,1,Round Trip,Walk-up,standard
128308787,90,09/01/2019 08:47,09/01/2019 10:17,4129,33.725819,-118.28051,4129,33.725819,-118.28051,12272,1,Round Trip,Walk-up,standard
128307228,61,09/01/2019 08:48,09/01/2019 09:49,3022,34.04607,-118.233093,4387,34.03352,-118.241837,12067,30,One Way,Monthly Pass,standard
128304472,1,09/01/2019 08:49,09/01/2019 08:50,4352,33.988419,-118.45163,4352,33.988419,-118.45163,15521,1,Round Trip,Walk-up,smart
128306333,28,09/01/2019 08:57,09/01/2019 09:25,4352,33.988419,-118.45163,4352,33.988419,-118.45163,15588,1,Round Trip,Walk-up,smart
128306332,27,09/01/2019 08:58,09/01/2019 09:25,4352,33.988419,-118.45163,4352,33.988419,-118.45163,15521,1,Round Trip,Walk-up,smart
128305644,4,09/01/2019 09:07,09/01/2019 09:11,4293,34.062279,-118.271523,4313,34.056808,-118.275002,19630,1,One Way,Walk-up,electric
128307222,40,09/01/2019 09:07,09/01/2019 09:47,3075,34.04211,-118.256187,3075,34.04211,-118.256187,12100,30,Round Trip,Monthly Pass,standard
128305876,5,09/01/2019 09:10,09/01/2019 09:15,3030,34.051941,-118.24353,3029,34.048851,-118.246422,12346,30,One Way,Monthly Pass,standard
128305874,8,09/01/2019 09:11,09/01/2019 09:19,4406,34.101891,-118.300613,4406,34.101891,-118.300613,6111,365,Round Trip,Walk-up,standard
128305875,5,09/01/2019 09:11,09/01/2019 09:16,4325,34.022518,-118.400589,4393,34.026829,-118.393517,16136,30,One Way,Monthly Pass,smart
128308099,51,09/01/2019 09:12,09/01/2019 10:03,4352,33.988419,-118.45163,4286,,,15270,1,One Way,One Day Pass,smart
128306327,9,09/01/2019 09:17,09/01/2019 09:26,3029,34.048851,-118.246422,3064,34.04681,-118.256981,19662,30,One Way,Monthly Pass,electric
128308095,45,09/01/2019 09:17,09/01/2019 10:02,4352,33.988419,-118.45163,4286,,,15947,1,One Way,One Day Pass,smart
128308096,45,09/01/2019 09:17,09/01/2019 10:02,4352,33.988419,-118.45163,4286,,,16073,1,One Way,One Day Pass,smart
128308097,46,09/01/2019 09:17,09/01/2019 10:03,4352,33.988419,-118.45163,4286,,,15800,1,One Way,One Day Pass,smart
128308769,55,09/01/2019 09:20,09/01/2019 10:15,4285,,,4394,33.980789,-118.414902,15986,365,One Way,Walk-up,smart
128311938,55,09/01/2019 09:20,09/01/2019 10:15,4406,34.101891,-118.300613,3000,,,17361,365,One Way,Walk-up,electric
128308320,45,09/01/2019 09:21,09/01/2019 10:06,4384,33.990318,-118.412048,4384,33.990318,-118.412048,15786,365,Round Trip,Walk-up,smart
128308319,44,09/01/2019 09:22,09/01/2019 10:06,4384,33.990318,-118.412048,4384,33.990318,-118.412048,15084,365,Round Trip,Walk-up,smart
128307216,24,09/01/2019 09:24,09/01/2019 09:48,4126,33.710979,-118.284668,4126,33.710979,-118.284668,6662,1,Round Trip,Walk-up,standard
128315199,184,09/01/2019 09:26,09/01/2019 12:30,4126,33.710979,-118.284668,4126,33.710979,-118.284668,18964,1,Round Trip,Walk-up,electric
128307654,29,09/01/2019 09:30,09/01/2019 09:59,4311,34.059689,-118.294662,4311,34.059689,-118.294662,18849,30,Round Trip,Monthly Pass,electric
128306775,5,09/01/2019 09:31,09/01/2019 09:36,4285,,,4325,34.022518,-118.400589,15199,30,One Way,Monthly Pass,smart
128306773,3,09/01/2019 09:32,09/01/2019 09:35,3035,34.048401,-118.260948,3005,34.0485,-118.258537,5775,30,One Way,Monthly Pass,standard
128306774,7,09/01/2019 09:32,09/01/2019 09:39,3014,34.05661,-118.237213,3066,34.063389,-118.23616,17567,30,One Way,Monthly Pass,electric
